start	end	text
30000	37000	Let the flash burn, I'll run away, but it's not the same thing
38000	45000	I'll run away, I'll run away, but it's not the same thing
45000	49000	I want to protect this is why I love you
49000	54000	Take them all, burn it down
54000	59000	My soul, this is my soul, it's down
59000	64000	I'll run away, but it's not the same thing
84000	89000	I'll run away, but it's not the same thing
98000	103000	The battle was taught me how to win
103000	108000	Kizuna got so your crew, our bonds brought longer
108000	113000	To your crew, our bonds brought longer
113000	118000	To your crew, our bonds brought longer
138000	143000	To your crew, our bonds brought longer
151000	156000	I'll run away, I'll run away, but it's not the same thing
156000	162000	I want to protect this is why I love you
162000	167000	Take them all, burn it down
167000	172000	I'll run away, but it's not the same thing
172000	177000	I want to protect this is why I love you
192000	197000	Take them all, burn it down
